planet,planet_mass_mjup,planet_radius_rjup,star_distance_AU,temp_calculated_K,star_name,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
HD 177830 A b,1.49,,1.2218,,HD 177830 A,1.47,2.99,4.4,4948.0
HD 177830 A c,0.15,,0.5137,,HD 177830 A,1.47,2.99,4.4,4948.0
HD 178911 B b,6.292,,0.32,,HD 178911 B,1.07,1.14,5.2,5650.0
HD 179079 b,0.076,,0.1214,,HD 179079,1.087,1.48,,5724.0
HD 179949 b,0.92,1.05,0.045,,HD 179949,1.28,1.19,2.05,6260.0
HD 180053 b,2.194,1.203,,,HD 180053,1.75,4.06,2.3,5130.0
HD 18015 b,3.18,1.17,3.87,,HD 18015,1.49,3.13,,5599.0
HD 180314 b,22.0,,1.4,,HD 180314,2.6,9.2,,4917.0
HD 180902 b,1.685,1.221,1.4,,HD 180902,1.41,4.16,2.8,4961.0
HD 181234 b,8.37,,7.52,,HD 181234,1.01,1.05,6.32,5386.0
HD 181342 b,2.54,1.19,1.592,,HD 181342,1.69,4.71,1.8,4945.0
HD 181433 b,0.0223,,0.0801,,HD 181433,0.78,,,4962.0
HD 181433 c,0.674,,1.819,,HD 181433,0.78,,,4962.0
HD 181433 d,0.612,,6.6,,HD 181433,0.78,,,4962.0
HD 18143 Ab,0.034,,0.088,,HD 18143 A,0.85,0.894,,5078.0
HD 18143 Ac,9.998,,17.53,,HD 18143 A,0.85,0.894,,5078.0
HD 181720 b,12.12,,1.78,,HD 181720,0.92,,,5781.0
HD 183263 b,3.67,,1.51,,HD 183263,1.17,1.21,8.1,5888.0
HD 183263 c,3.82,,4.25,,HD 183263,1.17,1.21,8.1,5888.0
HD 183579 b,0.0302,0.3149,0.1334,769.0,HD 183579,1.031,0.985,,5788.0
HD 184010 b,0.3,,0.937,,HD 184010,1.35,4.86,2.76,4971.0
HD 184010 c,0.28,,1.332,,HD 184010,1.35,4.86,2.76,4971.0
HD 184010 d,0.46,,1.922,,HD 184010,1.35,4.86,2.76,4971.0
HD 18438 b,21.0,,2.1,,HD 18438,1.84,88.5,5.5,3860.0
HD 184601 b,60.27,,1.76,,HD 184601,,,,
HD 185269 A b,0.94,,0.077,,HD 185269 A,1.28,1.88,4.2,5980.0
HD 185283 b,1.3,,4.6,,HD 185283,0.8,,6.9,
HD 187085 b,0.75,,2.05,,HD 187085,1.22,,3.3,6075.0
HD 187123 b,0.52,,0.0426,,HD 187123,1.06,1.17,5.33,5714.0
HD 187123 c,1.99,,4.89,,HD 187123,1.06,1.17,5.33,5714.0
HD 18742 b,3.4,1.166,1.82,,HD 18742,1.36,5.13,2.3,4940.0
HD 188015 b,1.26,,1.19,,HD 188015,1.09,1.1,6.2,5520.0
HD 188641 b,29.365,,12.027,,HD 188641,1.07,1.945,,5897.32
HD 189567 b,0.0267,,0.111,,HD 189567,,,,
HD 189567 c,0.022,,0.197,,HD 189567,,,,
HD 189733 b,1.138,1.138,0.031,,HD 189733,0.8,0.805,0.6,4875.0
HD 190007 b,0.05179,,0.092,,HD 190007,0.77,0.79,1.0,4610.0
HD 190228 b,24.0,,2.0,,HD 190228,1.3,3.02,10.16,5176.0
HD 190360 b,1.495,,3.92,,HD 190360,1.04,1.2,12.11,5588.0
HD 190360 c,0.06381,,0.128,,HD 190360,1.04,1.2,12.11,5588.0
HD 190622 b,0.0242,0.27541,0.1236,,HD 190622,1.044,1.205,5.3,6088.0
HD 190622 c,0.714,,0.921,,HD 190622,1.044,1.205,5.3,6088.0
HD 190647 b,1.9,,2.07,,HD 190647,1.1,,2.0,5628.0
HD 190984 b,3.1,,5.5,,HD 190984,0.91,1.53,,5988.0
HD 191806 b,8.52,,2.8,,HD 191806,1.14,,2.9,6010.0
HD 191939 b,0.0327,0.3024,0.078,893.0,HD 191939,0.81,0.945,7.0,5427.0
HD 191939 c,0.0227,0.2748,0.17,605.0,HD 191939,0.81,0.945,7.0,5427.0
HD 191939 d,0.0182,0.2712,0.207,549.0,HD 191939,0.81,0.945,7.0,5427.0
HD 191939 e,0.34,,0.397,,HD 191939,0.81,0.945,7.0,5427.0
HD 191939 f,6.5,,4.8,,HD 191939,0.81,0.945,7.0,5427.0
HD 191939 g,0.0488,,0.812,278.0,HD 191939,0.81,0.945,7.0,5427.0
HD 192263 b,0.733,,0.15312,,HD 192263,0.81,0.75,0.57,4965.0
HD 192699 b,2.096,1.206,1.063,,HD 192699,1.38,4.41,1.8,5041.0
HD 194490 b,11.207,,11.116,,HD 194490,1.06,1.149,,5861.32
HD 19467 b,52.0,,51.1,978.0,HD 19467,0.95,1.15,7.2,5680.0
HD 195019 b,3.7,,0.1388,,HD 195019,1.06,1.38,5.33,5787.0
HD 196050 b,2.83,,2.47,,HD 196050,1.17,1.29,3.17,5874.0
HD 196885 A b,2.67,,2.54,,HD 196885 A,1.33,1.79,2.0,6340.0
HD 197037 A b,0.79,,2.07,,HD 197037 A,1.11,,1.9,6150.0
HD 199509 Ab,0.136,,0.426,,HD 199509 A,1.04,0.9,,5796.02
HD 20003 b,0.0378,,0.0974,,HD 20003,,,,
HD 20003 c,0.0422,,0.1961,,HD 20003,,,,
HD 200964 b,1.85,,1.601,,HD 200964,1.44,4.3,3.0,5164.0
HD 200964 c,0.895,,1.95,,HD 200964,1.44,4.3,3.0,5164.0
HD 202206 (AB) c,17.9,,2.41,,HD 202206 A,1.13,1.02,2.04,5750.0
HD 202432 b,1.9,,1.2,,HD 202432,1.2,11.1,6.1,4549.0
HD 202696 b,1.991,,1.587,,HD 202696,1.91,6.01,1.32,5040.0
HD 202696 c,1.917,,2.36,,HD 202696,1.91,6.01,1.32,5040.0
HD 202772 A b,1.008,1.562,0.0519,2132.0,HD 202772 A,1.703,2.614,1.8,6230.0
HD 203030 b,11.0,,487.0,1040.0,HD 203030,0.97,,0.25,
HD 20329 b,0.02335,0.1534,0.018,2000.0,HD 20329,0.9,1.13,11.0,5596.0
HD 20367 b,1.07,,1.25,,HD 20367,1.04,1.18,0.87,6128.0
HD 203771 b,56.28,,2.006,,HD 203771,0.82,0.814,,4963.0
HD 2039 b,6.11,,2.23,,HD 2039,0.98,1.21,5.28,5947.0
HD 204313 b,4.28,,3.167,,HD 204313,1.045,,3.38,5767.0
HD 204313 c,0.0553,,0.2099,,HD 204313,1.045,,3.38,5767.0
HD 204313 d,1.68,,3.93,,HD 204313,1.045,,3.38,5767.0
HD 204313 e,15.317,,7.457,,HD 204313,1.045,,3.38,5767.0
HD 204941 b,0.266,,2.56,,HD 204941,0.74,0.72,6.67,5056.0
HD 205158 b,0.392,,0.177,,HD 205158,1.16,1.877,,6133.55
HD 205158 c,31.894,,13.171,,HD 205158,1.16,1.877,,6133.55
HD 205521 b,26.62,,3.26,,HD 205521,,,,
HD 205739 b,1.37,,0.896,,HD 205739,1.22,1.33,2.84,6176.0
HD 206255 b,0.1076,,0.461,,HD 206255,1.42,,,5635.0
HD 206610 b,2.2,,1.68,,HD 206610,1.56,6.1,3.0,4874.0
HD 206893 b,28.0,1.25,9.6,1429.2,HD 206893,1.24,,1.1,6486.0
HD 206893 c,12.7,1.46,3.53,1181.9,HD 206893,1.24,,1.1,6486.0
HD 207496 b,0.0192,0.2007,0.0629,743.0,HD 207496,0.8,0.769,0.52,4819.0
HD 20781 b,0.00607,,0.0529,,HD 20781,,,,
HD 20781 c,0.01677,,0.1,,HD 20781,,,,
HD 20781 d,0.0334,,0.1647,,HD 20781,,,,
HD 20781 e,0.0442,,0.3374,,HD 20781,,,,
HD 20782 b,1.9,,1.381,,HD 20782,1.0,,7.1,5578.0
HD 207832 A b,0.56,,0.57,,HD 207832 A,0.94,0.901,4.5,5710.0
HD 207832 A c,0.73,,2.112,,HD 207832 A,0.94,0.901,4.5,5710.0
HD 207897 b,0.05,0.22348,0.1164,632.3,HD 207897,0.801,0.779,7.1,5071.0
HD 208487 b,0.413,,0.51,,HD 208487,1.3,1.15,3.88,5929.0
HD 208487 c,0.46,,1.8,,HD 208487,1.3,1.15,3.88,5929.0
HD 208527 b,9.9,,2.1,,HD 208527,1.6,51.1,2.0,4035.0
HD 20868 b,1.99,,0.947,,HD 20868,0.78,0.79,4.5,4795.0
HD 208897 b,1.4,,1.05,,HD 208897,1.25,4.98,,4860.0
HD 209458 b,0.69,1.38,0.04747,,HD 209458,1.148,1.203,4.0,6092.0
HD 210193 b,0.4817,,1.487,,HD 210193,1.04,,,5790.0
HD 210277 b,1.23,,1.1,,HD 210277,1.09,1.1,6.93,5532.0
HD 210702 b,1.808,1.216,1.148,,HD 210702,1.61,4.92,1.4,4951.0
HD 211403 b,5.54,,0.768,380.0,HD 211403,1.2,1.206,,6273.0
HD 211810 b,0.67,,2.656,,HD 211810,1.03,1.13,,5652.0
HD 211970 b,0.0409,,0.143,,HD 211970,0.61,,,4127.0
HD 212301 A b,0.4,1.07,0.036,,HD 212301 A,1.05,,5.9,5998.0
HD 212771 b,2.3,,1.22,,HD 212771,1.15,5.0,6.0,5121.0
HD 213240 b,4.5,,2.03,,HD 213240,1.22,1.5,5.11,5975.0
HD 213472 b,3.48,,13.0,,HD 213472,,,,
HD 213885 b,0.02778,0.15568,0.02012,2128.0,HD 213885,1.068,1.101,3.8,5978.0
HD 213885 c,0.06277,,0.056798,,HD 213885,1.068,1.101,3.8,5978.0
HD 21411 b,0.2073,,0.362,,HD 21411,0.89,,,5605.0
HD 214823 b,20.56,1.082,3.23,,HD 214823,1.31,2.04,2.7,5933.0
HD 215152 b,0.00628,,0.057635,,HD 215152,0.77,0.73,,4935.0
HD 215152 c,0.004801,,0.067399,,HD 215152,0.77,0.73,,4935.0
HD 215152 d,0.008511,,0.08799,,HD 215152,0.77,0.73,,4935.0
HD 215152 e,0.01091,,0.15417,,HD 215152,0.77,0.73,,4935.0
HD 21520 b,0.0249,0.24061,0.1726,637.0,HD 21520,1.09,1.044,5.3,5871.0
HD 215456 b,0.101,,0.652,,HD 215456,,,,
HD 215456 c,0.246,,3.394,,HD 215456,,,,
HD 215497 b,0.02,,0.047,,HD 215497,0.87,,7.0,5113.0
HD 215497 c,0.33,,1.282,,HD 215497,0.87,,7.0,5113.0
HD 216520 b,0.03228,,0.198,,HD 216520,0.82,0.76,6.0,5103.0
HD 216520 c,0.0297,,0.528,,HD 216520,0.82,0.76,6.0,5103.0
HD 216536 b,1.47,,0.609,,HD 216536,1.36,12.5,3.8,4639.0
HD 216770 b,0.65,,0.46,,HD 216770,0.9,1.0,3.6,5248.0
HD 21693 b,0.0322,,0.1484,,HD 21693,,,,
HD 21693 c,0.06472,,0.2644,,HD 21693,,,,
HD 217107 b,1.394,,0.0746,,HD 217107,1.02,1.08,7.32,5666.0
HD 217107 c,4.09,,5.94,,HD 217107,1.02,1.08,7.32,5666.0
HD 217786 Ab,13.852,,2.446,,HD 217786 A,1.02,1.27,7.6,5966.0
HD 217786 Ac,0.023,,0.038,,HD 217786 A,1.02,1.27,7.6,5966.0
HD 218566 b,0.21,,0.6873,,HD 218566,0.85,0.86,8.5,4820.0
HD 219077 b,13.4,,7.03,,HD 219077,1.05,,8.9,5362.0
HD 219134 b,0.01343,0.134,0.037,,HD 219134,0.794,0.778,,4699.0
HD 219134 c,0.01246,0.12624,0.062,,HD 219134,0.794,0.778,,4699.0
HD 219134 d,0.05236,,0.225,,HD 219134,0.794,0.778,,4699.0
HD 219134 e,0.223,,2.56,,HD 219134,0.794,0.778,,4699.0
HD 219134 f,0.0208,,0.139,,HD 219134,0.794,0.778,,4699.0
HD 219134 g,0.034,,0.3753,,HD 219134,0.794,0.778,,4699.0
HD 219134 h,0.308,,3.064,,HD 219134,0.794,0.778,,4699.0
HD 219139 b,0.78,,0.94,,HD 219139,,,,
HD 219415 b,1.0,,3.2,,HD 219415,1.0,2.9,,4820.0
HD 219666 b,0.0522,0.4202,0.06356,1073.0,HD 219666,0.92,1.03,10.0,5527.0
HD 219828 b,0.0661,,0.045,,HD 219828,1.24,1.7,5.8,5891.0
HD 219828 c,15.1,,5.96,,HD 219828,1.24,1.7,5.8,5891.0
HD 220074 b,11.1,,1.6,,HD 220074,1.2,49.67,4.5,3935.0
HD 220197 b,0.2,,2.729,,HD 220197,0.91,0.98,10.165,5683.0
HD 220689 b,1.06,,3.36,,HD 220689,,,,
HD 220842 A b,3.18,,0.74,,HD 220842 A,1.13,,,5920.0
HD 221287 b,3.09,,1.25,,HD 221287,1.25,,1.3,6304.0
HD 221416 b,0.1904,0.836,0.1228,,HD 221416,1.212,2.943,4.9,5080.0
HD 221420 b,22.9,,10.15,,HD 221420,1.67,,,5830.0
HD 221585 b,1.61,,2.306,,HD 221585,1.19,,6.2,5620.0
HD 222076 b,1.56,,1.83,,HD 222076,1.07,4.14,,4806.0
HD 222155 b,1.9,,5.1,,HD 222155,1.13,1.67,8.2,5765.0
HD 222582 b,7.75,,1.35,,HD 222582,0.99,1.15,6.16,5662.0
HD 224538 b,5.97,,2.28,,HD 224538,1.54,1.34,2.0,6097.0
HD 224693 b,0.71,,0.233,,HD 224693,1.33,1.7,2.0,6037.0
HD 22496 b,0.01753,,0.051,573.0,HD 22496,0.684,0.674,,4385.0
HD 22532 b,2.12,,1.9,,HD 22532,1.57,5.69,,5067.0
HD 22781 b,13.65,,1.167,,HD 22781,0.75,,4.75,5027.0
HD 22946 b,0.00821,0.12151,0.05727,1241.0,HD 22946,1.104,1.157,5.0,6210.0
HD 22946 c,0.0208,0.20769,0.1017,931.0,HD 22946,1.104,1.157,5.0,6210.0
HD 22946 d,0.0249,0.23258,0.2958,546.0,HD 22946,1.104,1.157,5.0,6210.0
HD 23079 b,2.45,,1.596,,HD 23079,1.1,1.13,6.53,5848.0
HD 23127 b,1.5,,2.4,,HD 23127,1.13,,7.1,5927.0
HD 231701 b,1.08,,0.53,,HD 231701,1.14,1.35,4.9,6208.0
HD 233604 b,6.575,,0.747,,HD 233604,1.5,10.9,2.4,4791.0
HD 233832 b,2.72,,4.438,,HD 233832,0.71,0.68,5.417,4981.0
HD 23472 b,0.02618,0.16701,0.1162,543.0,HD 23472,0.75,0.73,,
HD 23472 c,0.01073,0.1668,0.1646,467.0,HD 23472,0.75,0.73,,
HD 23472 d,0.00173,0.0669,0.04298,909.0,HD 23472,0.75,0.73,,
HD 23472 e,0.00227,0.07298,0.068,723.0,HD 23472,0.75,0.73,,
HD 23472 f,0.00242,0.10144,,630.0,HD 23472,0.75,0.73,,
HD 23596 b,8.1,,2.88,,HD 23596,1.27,2.09,6.89,5888.0
HD 238090 b,0.02168,,0.0932,469.6,HD 238090,0.578,0.57,,3933.0
HD 238914 b,6.0,,5.7,,HD 238914,1.47,12.73,,4769.0
HD 240210 b,6.9,,1.33,,HD 240210,1.25,,,4290.0
HD 240237 b,5.3,,1.9,,HD 240237,1.69,32.0,,4361.0
HD 24040 b,4.01,,4.92,,HD 24040,1.18,,6.68,5853.0
HD 24040 c,0.201,,1.3,,HD 24040,1.18,,6.68,5853.0
HD 24064 b,9.4,,1.29,,HD 24064,1.0,38.0,9.0,4052.5
HD 24085 b,0.0371,,0.034,,HD 24085,1.22,,,6034.0
HD 25015 b,4.48,,6.19,,HD 25015,0.86,0.83,4.0,5160.0
HD 25171 b,0.95,,3.02,,HD 25171,1.09,1.18,2.0,6160.0
HD 25723 b,2.51,,1.49,,HD 25723,2.12,13.76,0.95,4766.0
HD 25723 c,1.33,,4.35,,HD 25723,2.12,13.76,0.95,4766.0
HD 260655 b,0.00673,0.1106,0.02933,709.0,HD 260655,0.439,0.439,5.0,3803.0
HD 260655 c,0.00972,0.13677,0.04749,557.0,HD 260655,0.439,0.439,5.0,3803.0
HD 26161 b,13.5,,20.4,,HD 26161,,,,
HD 2638 b,0.48,1.04,0.044,,HD 2638,0.93,,3.0,5192.0
HD 2685 b,1.18,1.44,0.0568,2061.0,HD 2685,1.44,1.57,1.3,6801.0
HD 27631 b,1.45,,3.25,,HD 27631,,,,
HD 27894 b,0.665,,0.125,,HD 27894,0.8,,3.9,4875.0
HD 27894 c,0.162,,0.198,,HD 27894,0.8,,3.9,4875.0
HD 27894 d,5.415,,5.448,,HD 27894,0.8,,3.9,4875.0
HD 27969 b,4.8,,1.552,261.0,HD 27969,1.16,1.27,,5966.0
HD 28109 b,0.058195,0.19618,0.1357,881.0,HD 28109,1.26,1.446,1.1,6120.0
HD 28109 c,,0.3774,0.308,565.0,HD 28109,1.26,1.446,1.1,6120.0
HD 28109 d,,0.2899,0.411,506.0,HD 28109,1.26,1.446,1.1,6120.0
HD 28185 b,5.7,,1.03,,HD 28185,1.24,1.03,5.36,5482.0
HD 28185 c,19.639,,13.176,,HD 28185,1.24,1.03,5.36,5482.0
HD 28254 A b,1.16,,2.15,,HD 28254 A,1.06,1.48,,5664.0
HD 283668 b,53.4,,3.3,,HD 283668,0.68,,,4845.0
HD 283869 b,,0.1749,0.4,255.0,HD 283869,0.74,0.66,,4655.0
HD 284149 b,32.0,,400.0,2537.0,HD 284149,1.14,,0.025,6040.0
HD 285507 b,0.917,,0.0729,,HD 285507,0.734,0.656,0.625,4503.0
HD 28678 b,1.7,,1.24,,HD 28678,1.74,6.2,1.8,5076.0
HD 29021 b,2.4,,2.28,,HD 29021,0.85,0.85,7.4,5560.0
HD 290327 b,2.54,,3.43,,HD 290327,0.9,1.0,,5552.0
HD 29399 b,1.57,,1.913,,HD 29399,1.15,4.47,6.2,4803.0
HD 2952 b,1.6,,1.2,,HD 2952,2.54,12.02,,4844.0
HD 30177 b,8.07,,3.58,,HD 30177,1.05,1.12,11.6,5580.0
HD 30177 c,3.0,,6.99,,HD 30177,1.05,1.12,11.6,5580.0
HD 30562 b,1.29,,2.3,,HD 30562,1.219,1.637,4.0,5861.0
HD 30669 b,0.47,,2.69,,HD 30669,0.92,0.91,4.8,5400.0
HD 30856 A b,1.8,,2.0,,HD 30856 A,1.35,4.2,3.8,4982.0
HD 31221 b,12.0,1.32,,,HD 31221,1.447,1.55,,
HD 31253 b,0.5,,1.26,,HD 31253,1.23,1.71,3.0,5960.0
HD 31527 b,0.0363,,0.1253,,HD 31527,,,,
HD 31527 c,0.0498,,0.2665,,HD 31527,,,,
HD 31527 d,0.0519,,0.8181,,HD 31527,,,,
HD 3167 b,0.0158,0.152,0.0186,1669.0,HD 3167,0.94,0.87,5.0,5528.0
HD 3167 c,0.0308,0.255,0.1841,531.0,HD 3167,0.94,0.87,5.0,5528.0
HD 3167 d,0.01362,,0.0763,,HD 3167,0.94,0.87,5.0,5528.0
HD 3167 e,0.02646,,0.3885,374.8,HD 3167,0.94,0.87,5.0,5528.0
HD 32518 b,3.04,,0.59,,HD 32518,1.13,10.22,5.83,4580.0
HD 32963 b,0.7,,3.41,,HD 32963,0.94,,4.99,5727.0
HD 330075 b,0.62,1.06,0.039,,HD 330075,0.95,,6.21,6295.0
HD 331093 b,1.5,,1.44,,HD 331093,,,,
HD 33142 b,1.261,1.235,1.075,,HD 33142,1.54,4.36,3.0,4978.0
HD 33142 c,0.885,1.277,1.96,,HD 33142,1.54,4.36,3.0,4978.0
HD 33142 d,0.2,,0.452,,HD 33142,1.54,4.36,3.0,4978.0
HD 332231 b,0.244,0.867,0.1436,,HD 332231,1.127,1.277,4.3,6089.0
HD 33283 b,0.33,0.99,0.168,,HD 33283,1.24,1.2,3.2,5995.0
HD 33564 b,9.1,,1.1,,HD 33564,1.25,1.1,3.0,6250.0
HD 33632 A b,50.0,,23.6,,HD 33632 A,1.03,,1.7,
HD 33844 b,1.96,,1.6,,HD 33844,1.75,,2.1,4827.0
HD 33844 c,1.75,,2.24,,HD 33844,1.75,,2.1,4827.0
HD 34445 b,0.629,,2.075,,HD 34445,1.07,1.38,8.5,5836.0
HD 34445 c,0.168,,0.7181,,HD 34445,1.07,1.38,8.5,5836.0
HD 34445 d,0.097,,0.4817,,HD 34445,1.07,1.38,8.5,5836.0
HD 34445 e,0.0529,,0.2687,,HD 34445,1.07,1.38,8.5,5836.0
HD 34445 f,0.119,,1.543,,HD 34445,1.07,1.38,8.5,5836.0
HD 34445 g,0.38,,6.36,,HD 34445,1.07,1.38,8.5,5836.0
HD 35759 b,3.76,,0.389,,HD 35759,1.15,,,6060.0
HD 360 b,0.75,,0.98,,HD 360,,,,
HD 36384 b,6.6,,1.3,,HD 36384,1.14,38.4,0.113,3940.0
HD 37124 b,0.675,,0.53364,,HD 37124,0.83,0.82,3.33,5610.0
HD 37124 c,0.652,,1.71,,HD 37124,0.83,0.82,3.33,5610.0
HD 37124 d,0.696,,2.807,,HD 37124,0.83,0.82,3.33,5610.0
HD 37605 b,2.813,,0.2837,,HD 37605,1.0,0.9,7.0,5448.0
HD 37605 c,3.366,,3.814,,HD 37605,1.0,0.9,7.0,5448.0
HD 38283 b,0.34,,1.02,,HD 38283,1.085,,5.4,5945.0
HD 38529 b,0.93,,0.131,,HD 38529,1.48,2.44,3.28,5697.0
HD 38529 c,23.7,,3.695,,HD 38529,1.48,2.44,3.28,5697.0
HD 38677 b,0.07636,,0.1462,877.0,HD 38677,1.21,1.26,2.01,6196.0
HD 38677 c,0.0302,0.16184,0.0733,1239.0,HD 38677,1.21,1.26,2.01,6196.0
HD 38677 d,0.01054,0.12428,0.0422,1632.0,HD 38677,1.21,1.26,2.01,6196.0
HD 38677 e,0.01299,0.13123,0.0651,1314.0,HD 38677,1.21,1.26,2.01,6196.0
HD 38801 b,10.13,1.134,1.66,,HD 38801,1.26,2.41,4.67,5207.0
HD 38858 b,0.0961,,1.0376,,HD 38858,,,,
HD 39194 b,0.013,,0.056,,HD 39194,,,,
HD 39194 c,0.0198,,0.103,,HD 39194,,,,
HD 39194 d,0.013,,0.185,,HD 39194,,,,
HD 39392 b,13.2,,1.08,,HD 39392,1.08,,,5951.0
HD 39855 b,0.0267,,0.041,,HD 39855,0.87,,,5576.0
HD 40307 b,0.012,,0.0475,,HD 40307,0.77,,,4977.0
HD 40307 c,0.0202,,0.0812,,HD 40307,0.77,,,4977.0
HD 40307 d,0.0275,,0.134,,HD 40307,0.77,,,4977.0
HD 40307 e,0.011,,0.1886,,HD 40307,0.77,,,4977.0
HD 40307 f,0.0114,,0.2485,,HD 40307,0.77,,,4977.0
HD 40307 g,0.0223,,0.6,,HD 40307,0.77,,,4977.0
HD 40956 b,2.7,,1.4,,HD 40956,2.0,8.56,1.35,4869.0
HD 40979 b,4.01,,0.846,,HD 40979,1.1,1.21,1.48,6205.0
HD 41004 A b,2.54,,1.64,,HD 41004 A,0.7,,1.64,5035.0
HD 41004 B b,18.4,1.06,0.0177,,HD 41004 B,0.4,,1.56,5035.0
HD 4113 Ab,1.56,,1.28,,HD 4113 A,1.0,1.084,4.8,5655.45
HD 4113 Ac,51.913,1.45,50.438,525.0,HD 4113 A,1.0,1.084,4.8,5655.45
HD 42012 b,1.6,,1.67,,HD 42012,0.83,0.82,4.1,5405.0
HD 4203 b,1.82,,1.164,,HD 4203,1.13,1.33,9.41,5701.0
HD 4203 c,2.17,,,,HD 4203,1.13,1.33,9.41,5701.0
HD 4208 b,0.804,,1.65,,HD 4208,0.87,0.85,4.47,5571.0
HD 42618 b,0.0453,,0.554,337.0,HD 42618,1.015,0.999,,5727.0
HD 42936 b,0.00812,,0.0662,,HD 42936,0.87,0.91,10.9,5138.0
HD 4308 b,0.0405,,0.118,,HD 4308,0.85,0.92,7.1,5597.0
HD 4313 b,2.3,,1.19,,HD 4313,1.72,4.9,2.0,5035.0
HD 43197 b,0.6,,0.92,,HD 43197,0.96,1.0,,5508.0
HD 43197 c,7.868,,8.54,,HD 43197,0.96,1.0,,5508.0
HD 43691 A b,2.57,,0.238,,HD 43691 A,1.38,,2.8,6200.0
HD 44219 b,0.58,,1.19,,HD 44219,1.0,1.32,,5752.0
HD 44385 b,5.9,,1.4,,HD 44385,1.8,18.2,1.8,4400.0
HD 45184 b,0.04,,0.0638,,HD 45184,,,,
HD 45184 c,0.0277,,0.11,,HD 45184,,,,
HD 45350 b,1.79,,1.92,,HD 45350,1.02,1.27,5.59,5754.0
HD 45364 b,0.1872,,0.6813,,HD 45364,0.82,,,5434.0
HD 45364 c,0.6579,,0.8972,,HD 45364,0.82,,,5434.0
HD 45652 b,0.47,,0.23,,HD 45652,0.83,,,5312.0
HD 457 b,26.572,,15.369,,HD 457,1.15,1.281,,6114.04
HD 46375 A b,0.23,1.02,0.041,,HD 46375 A,0.91,1.0,4.96,5199.0
HD 46588 b,0.25,,,,HD 46588,1.09,1.7,,6200.0
HD 46588 c,52.0,,1420.0,1297.0,HD 46588,1.09,1.7,,6200.0
HD 47186 b,0.07167,,0.05,,HD 47186,0.99,,,5675.0
HD 47186 c,0.35061,,2.395,,HD 47186,0.99,,,5675.0
HD 4732 A b,2.37,,1.19,,HD 4732 A,1.74,5.4,,4959.0
HD 4732 A c,2.37,,4.6,,HD 4732 A,1.74,5.4,,4959.0
HD 47366 b,1.75,,1.214,,HD 47366,1.81,7.3,1.61,4866.0
HD 47366 c,1.86,,1.853,,HD 47366,1.81,7.3,1.61,4866.0
HD 47536 b,5.0,,1.61,,HD 47536,0.94,23.47,9.33,4380.0
HD 4760 b,13.9,,1.14,,HD 4760,1.05,42.4,,4076.0
HD 48265 b,1.16,,1.51,,HD 48265,0.93,,,
HD 48679 b,51.055,,2.11,,HD 48679,0.98,1.148,,5564.0
HD 4917 b,1.615,1.224,,,HD 4917,1.32,5.01,2.4,4802.0
HD 49674 b,0.1,0.98,0.058,,HD 49674,1.07,0.94,2.38,5482.0
HD 50499 b,1.45,,3.93,,HD 50499,1.31,1.42,2.4,6099.0
HD 50499 c,2.93,,9.02,,HD 50499,1.31,1.42,2.4,6099.0
HD 50554 b,5.16,,2.41,,HD 50554,1.04,1.11,4.58,5902.0
HD 51608 b,0.04,,0.10805,,HD 51608,,,,
HD 51608 c,0.0521,,0.38833,,HD 51608,,,,
HD 52265 b,1.21,,0.52,,HD 52265,1.2,1.25,4.88,6159.0
HD 5278 b,0.0245,0.2186,0.12,943.0,HD 5278,1.126,1.194,3.0,6203.0
HD 5278 c,,,0.2416,,HD 5278,1.126,1.194,3.0,6203.0
HD 5319 b,1.94,,1.75,,HD 5319,1.56,3.26,2.4,5052.0
HD 5319 c,1.15,,2.071,,HD 5319,1.56,3.26,2.4,5052.0
HD 5433 b,49.11,,1.37,,HD 5433,,,,
HD 55696 b,3.87,,3.18,,HD 55696,1.29,1.52,2.6,
HD 5583 b,5.78,,0.53,,HD 5583,1.01,9.09,7.4,4830.0
HD 5608 b,1.681,1.222,1.911,,HD 5608,1.53,5.14,,4877.0
HD 56414 b,,0.331,0.229,1133.0,HD 56414,1.89,1.751,0.42,8500.0
HD 564 b,0.33,,1.2,,HD 564,0.92,1.01,5.5,5902.0
HD 5891 b,7.6,,0.76,,HD 5891,1.91,8.7,1.5,4907.0
HD 59686 A b,6.92,,1.086,,HD 59686 A,1.9,13.2,1.73,4658.0
HD 60292 b,6.5,,1.5,,HD 60292,1.7,27.0,1.8,4348.0
HD 60532 b,9.21,,0.77,,HD 60532,1.44,,2.7,6095.0
HD 60532 c,21.81,,1.58,,HD 60532,1.44,,2.7,6095.0
HD 60584 b,28.0,,15.58,,HD 60584,1.35,,1.0,
HD 62364 b,18.77,,6.15,,HD 62364,1.157,1.4,3.9,6255.0
HD 63433 b,0.0689,0.1945,0.0719,870.0,HD 63433,0.99,0.912,0.414,5640.0
HD 63433 c,0.0482,0.2427,0.1458,,HD 63433,0.99,0.912,0.414,5640.0
HD 63433 d,,0.09573,0.0503,,HD 63433,0.99,0.912,0.414,5640.0
HD 63454 b,0.39,1.06,0.036,,HD 63454,0.8,,1.0,4841.0
HD 63765 b,0.64,,0.949,,HD 63765,0.865,,4.77,5432.0
HD 63935 b,0.033,0.2668,0.083,911.0,HD 63935,0.933,0.959,,5534.0
