planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
109 Psc b,5.743,1.152,,109 Psc,2.051,1.13,1.79,6.9,5600
112 Psc b,0.033,,,112 Psc,0.054,1.1,1.801,,5986
112 Psc c,9.866,,,112 Psc,22.21,1.1,1.801,,5986
11 Com b,16.1284,,,11 Com,1.29,2.7,19,,4742
11 UMi b,11.0873,,,11 UMi,1.54,1.8,24.08,1.56,4340
14 And b,4.684,,,14 And,0.83,2.2,11,,4813
14 Her b,,,,14 Her,2.82,0.9,0.708,5.1,5311
14 Her c,7.1,,,14 Her,27,0.9,0.708,5.1,5311
15 Sge b,61.5,,,15 Sge,14,,,,
16 Cyg B b,1.64,,,16 Cyg B,1.68,1.01,0.98,8,5766
18 Del b,10.3,,,18 Del,2.6,2.3,8.5,,4979
1RXS 1609 b,14,1.7,1800,1RXS 1609,330,0.73,1.35,0.011,4060
1RXS J0342.5+1216 b,35,,,1RXS J0342.5+1216,19.8,,,,
1RXS J235133.3+312720 b,32,,,1RXS J235133.3+312720,120,0.45,,0.1,
1SWASP J1407 b,20,,,1SWASP J1407,3.9,0.9,0.99,0.016,4400
23 Lib b,1.59,,,23 Lib,0.81,1.07,1.25,9.7,5740
23 Lib c,0.82,,,23 Lib,5.8,1.07,1.25,9.7,5740
24 Boo b,0.91,,,24 Bo&ouml;,0.19,0.99,10.64,6.92,4893
24 LMi b,0.0541,0.2221,460,24 LMi,0.58,1.25,1.54,1.9,5861
24 Sex b,1.84,,,24 Sex,1.333,1.54,4.9,2.7,5098
24 Sex c,1.52,,,24 Sex,2.08,1.54,4.9,2.7,5098
29 Cyg b,16.1,,1400,29 Cyg,16.9,1.85,,,8000
2M0045+16,25,,,,,,,,
2M 0103-55 (AB) b,13,,,2M 0103-55 (AB),84,0.4,,0.03,
2M0117-34,16.4,,,,,,,,
2M 0219-39 b,13.9,1.44,1683,2M 0219-39,156,0.11,0.27,,3064
2M0355,28,1.22,1527,,,,,,
2M0418+21,47,,,,,,,,
2M0437 b,4,,1450,2M0437,118,0.0165,0.84,0.0025,3100
2M 0441+23 b,7.5,,,2M 0441+23,15,0.02,,0.001,
2M0444,50,,,,,,,,
2M0838+15 b,,,,2M0838+15,27,,,,
2M0838+15 c,,,,2M0838+15,27,,,,
2M1059-21 b,66.95,,,2M1059-21,0.8,0.81,,,
2M1207 A,19.9,3.5,2640,,,,,,
2M1207 b,5.5,,1300,,42,,,,
2M 1252+2735 b,6.88,,,2M 1252+2735,,,,,
2M 1253+2734 b,8.3,,,2M 1253+2734,,,,,
2M 1258+2630 b,3.4,,,2M 1258+2630,,,,,
2M1510A a,40,1.57,,,0.063,,,,
2M1510A b,39.3,1.57,,,0.063,,,,
2M 2140+16 b,20,0.92,,2M 2140+16,3.53,0.08,0.1,,2300
2M 2206-20 b,30,1.3,,2M 2206-20,4.48,0.13,0.11,,2350
2M 2236+4751 b,12.5,,1050,2M 2236+4751,230,0.6,,0.12,
2MASS 0359+2009 b,18,,2370,2MASS 0359+2009,572,0.06,,0.0075,2900
2MASS 1534-29 b,47,0.32,1699,2MASS 1534-29,,,,,
2MASS J0001+1535,33,1.22,1725,,,,,,
2MASS J00103250+1715490 b,57.5,,,2MASS J00103250+1715490,,,,,
2MASS J0030-1450,10,1.36,1264,,,,,,
2MASS J0031+5749,24,1.2,1343,,,,,,
2MASS J00413538-5621127 A,30,,,,,,,,
2MASS J00413538-5621127 B,15,,,,8.9,,,,
2MASS J01225093-2439505 b,24.5,,,2MASS J01225093-2439505,52,0.4,,0.12,3530
2MASS J0153-6744,17,1.48,1664,,,,,,
2MASS J0249-0557A,48,,,,,,,,
2MASS J0249-0557 (AB) c,11.6,,,,,,,,
2MASS J0249-0557B,44,,,,,,,,
2MASS J0326-2102,18,1.32,1359,,,,,,
2MASS J0342-6817,17,1.48,1650,,,,,,
2MASS J0348-6022,43,0.91,880,,,,,,
2MASS J0407+1546,67,0.97,1840,,,,,,
2MASS J0447-1216,51,1.02,1521,,,,,,
2MASS J0459-2853,8,1.32,1152,,,,,,
2MASS J0506+5236,26,1.05,1065,,,,,,
2MASS J05581644-4501559 b,9,,,2MASS J05581644-4501559,,,,,
2MASS J0642+4101,12,1.23,1124,,,,,,
2MASS J0718-6415,3,1.29,596,,,,,,
2MASS J0809+4434,13,1.35,1253,,,,,,
2MASS J0850+1057 b,26,1.15,1234,2MASS J0850+1057,,,,,
2MASS J0951-8023,15,1.45,1463,,,,,,
2MASS J10475385+2124234,42,,,,,,,,
2MASS J11011926-7732383 A,50,,,,,,,,
2MASS J11011926-7732383 B,30,,,,240,,,,
2MASS J1119-1137 b,3.7,,,2MASS J1119-1137,,,,0.01,
2MASS J1155-7919 b,10,,,2MASS J1155-7919,582,,,0.005,
2MASS J1219+3128,49,0.97,1330,,,,,,
2MASS J1450-7841 A,40,,,2MASS J1450-7841 B,300,0.04,,,
2MASS J1450-7841 B,40,,,2MASS J1450-7841 A,300,0.04,,,
2MASS J15344984-2952274 A,30.1,,,,,,,,
2MASS J15344984-2952274 B,28.2,,,,2.3,,,,
2MASS J1551+0941,24,1.39,1653,,,,,,
2MASS J155947+440359 b,43,,,2MASS J155947+440359,1101.23,,,,
2MASS J1647+5632,18,1.22,1244,,,,,,
2MASS J1741-4642,26,1.23,1471,,,,,,
2MASS J18071593+5015316,16.02,,,,,,,,
2MASS J2002-0521,13,1.36,1301,,,,,,
2MASS J2117-2940,7,1.38,1192,,,,,,
2MASS J2139+02,16.2,1.14,1040,,,,,,
2MASS J2154-1055,33,1.17,1539,,,,,,
2MASS J2206+3301,8,1.3,1076,,,,,,
2MASS J2206-4217,32,1.22,1684,,,,,,
2MASS J2250+2325 b,30,,,2MASS J2250+2325,518,,,0.15,
2MASS J2322-6151,18,1.5,1740,,,,,,
2MASS J2343-3646,34,1.22,1755,,,,,,
2MASSW J2208136+292121,10,,,,,,,,
2M J2126-81 b,13.3,,1800,TYC 9486-927-1,6900,0.4,,0.027,
38 Vir b,4.51,,,38 Vir,1.82,1.18,1.45,1.9,6557
3 Cnc b,20.76,,,3 Cnc,2.52,2.94,39.38,0.43,4319
41 Com b,6.3,,,41 Com,1.6,1.49,25.11,3.24,4181
44 Uma b,12.11,,,44 Uma,2.16,2.19,45.12,1.05,4215
47 Uma b,2.53,,,47 Uma,2.1,1.03,1.24,7.4,5892
47 Uma c,0.54,,,47 Uma,3.6,1.03,1.24,7.4,5892
47 Uma d,1.64,,,47 Uma,11.6,1.03,1.24,7.4,5892
4FGL J1408.6-2917 b,28.27,,,4FGL J1408.6-2917,0.006017,1.4,,,
4U 1543-62 b,28.8,0.3,,4U 1543-62,0.001187,1.4,,,
4U 1626-67 b,41.88,0.778,,4U 1626-67,0.002037,1.4,2.00E-05,,
51 Eri b,4.1,1.11,700,51 Eri,11.1,1.75,,0.02,
51 Peg b,0.47,1.9,,51 Peg,0.052,1.11,1.266,4,5793
54 Psc b,0.23,,,54 Psc,0.295,0.79,0.947,5.13,5173
54 Psc c,53,0.8,810,54 Psc,476,0.79,0.947,5.13,5173
59 Dra b,25,,,59 Dra,0.22,1.59,1.50485,,7137
59 Vir b,4,0.96,544,59 Vir,43.5,1.22,,0.16,6291
61 Vir b,0.016,,,61 Vir,0.050201,0.95,0.94,8.96,5531
61 Vir c,0.0573,,,61 Vir,0.2175,0.95,0.94,8.96,5531
61 Vir d,0.072,,,61 Vir,0.476,0.95,0.94,8.96,5531
6 Lyn b,2.01,,,6 Lyn,2.11,1.7,5.2,,4978
70 Vir b,6.6,,,70 Vir,0.48,0.92,1.968,7.09,5432
75 Cet b,0.0078,,,75 Cet,1.912,2.49,10.5,,4846
75 Cet c,0.91,,,75 Cet,3.929,2.49,10.5,,4846
78 Psc b,31,,,78 Psc,18.6,1.397,,,
79 Cet Ab,0.215,,,79 Cet A,0.35,1.01,1,7.76,5533
81 Cet b,5.3,,,81 Cet,2.5,2.4,11,,
82 Eri b,0.00887,,,82 Eri,0.127,0.813,0.9,14,5490
82 Eri c,0.00793,,,82 Eri,0.225,0.813,0.9,14,5490
82 Eri d,0.01108,,,82 Eri,0.364,0.813,0.9,14,5490
82 Eri e,0.01501,,,82 Eri,0.509,0.813,0.9,14,5490
83 Leo Bb,0.0802,,,83 Leo B,0.123,0.83,0.96,4,4740
