planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
1RXS 1609 b,14,1.7,1800,1RXS 1609,330,1.35,0.011,4060,1800
24 LMi b,0.0541,0.2221,460,24 LMi,0.58,1.54,1.9,5861,460
2MASS J1315-2649 b,28,0.91,670,2MASS J1315-2649,6.6,0.084,0.9,1770,670
54 Psc c,53,0.8,810,54 Psc,476,0.947,5.13,5173,810
AF Lep b,2.8,1.33,1800,AF Lep,8.2,1.25,0.024,6130,1800
AU Mic b,0.116,0.4571,569.5,AU Mic,0.08305,0.75,0.022,3700,569.5
AU Mic c,0.101,0.28,436,AU Mic,0.1417,0.75,0.022,3700,436
BD+20 594 b,0.07,0.23,386,BD+20 594,0.241,1.08,3.34,5766,386
BD+60 1417 b,15,1.31,1303,BD+60 1417,1662,0.797,0.1,4993,1303
beta Pic c,8.89,1.2,1250,beta Pic,2.68,1.8,0.04,8052,1250
CFHTWIR-Oph 98 b,7.8,1.86,1800,CFHTWIR-Oph 98,200,0.24,0.003,2320,1800
COCONUTS-2 b,6.4,1.12,434,COCONUTS-2A,6471,0.388,0.475,3406,434
CoRoT-22 b,0.06,0.4354,885,CoRoT-22,0.092,1.136,3.3,5939,885
CoRoT-24 b,0.018,0.33,1070,CoRoT-24,0.056,0.86,11,4950,1070
CoRoT-24 c,0.088,0.44,850,CoRoT-24,0.098,0.86,11,4950,850
CoRoT-27 b,10.39,1.007,1500,CoRoT-27,0.0476,1.08,4.21,5900,1500
CoRoT-35 b,1.1,1.68,1747,CoRoT-35,0.0429,1.65,6.1,6390,1747
CoRoT-36 b,0.68,1.41,1567,CoRoT-36,0.066,1.52,2.1,6730,1567
EPIC 219388192 b,36,0.846,1164,EPIC 219388192,0.0593,1.01,3.9,5850,1164
eta CrB (AB)b,50.1,0.97,1295,eta CrB,3600,1.24614,1.75,6028.7,1295
G 9-40 b,0.013,0.17,440.6,G 9-40,0.0418,0.31,9.9,3348,440.6
GD 165 b,43.96,0.83,1920.49,GD 165,123,0.0124,3.3,12130,1920.49
GG Tau Bb,40,4.95,2840,GG Tau B,14,1.45,0.0015,2740,2840
GJ 1018 b,0.00843,0.1356,458,GJ 1018,0.0559,0.428,7,3433,458
GJ 1132 b,0.00522,0.1035,580,GJ 1132,0.0154,0.207,5,3270,580
GJ 143 c,0.01164,0.07958,703,GJ 143,0.0695,0.73,3.8,4640,703
GJ 3470 b,0.03546,0.38826,590,GJ 3470,0.03557,0.48,1.6,3652,590
GJ 414 A b,0.02762,0.2632,303.7,GJ 414 A,0.24,0.68,12.4,4120,303.7
GJ 414 A c,0.17705,0.7833,123.3,GJ 414 A,1.43,0.68,12.4,4120,123.3
GJ 436 b,0.05836,0.32519,580,GJ 436,0.02887,0.464,6,3684,580
Gliese 12 b,0.00494,0.0919,287,Gliese 12,0.066,0.269,7,3253,287
GPX-1 b,19.7,1.47,2300,GPX-1,0.0338,1.56,0.27,7000,2300
HAT-P-1 b,0.525,1.319,1322,HAT-P-1,0.05561,1.174,3.6,5980,1322
HAT-P-11 b,0.0736,0.389,750,HAT-P-11,0.053,0.683,6.5,4780,750
HAT-P-12 b,0.210489885,0.949,965,HAT-P-12,0.0384,0.7,2.5,4650,965
HAT-P-18 b,0.183,0.947,841,HAT-P-18,0.0559,0.717,12.4,4870,841
HAT-P-26 b,0.0585,0.57,590,HAT-P-26,0.0479,0.788,9,5079,590
HAT-P-42 b,0.975,1.277,1427,HAT-P-42,0.0575,1.528,5.1,5743,1427
HAT-P-43 b,0.66,1.283,1361,HAT-P-43,0.0443,1.104,5.7,5645,1361
HAT-P-49 b,1.73,1.413,2131,HAT-P-49,0.0438,1.833,1.5,6820,2131
HAT-P-50 b,1.36,1.288,1862,HAT-P-50,0.0453,1.698,3.37,6280,1862
HAT-P-51 b,0.309,1.293,1192,HAT-P-51,0.05069,1.041,8.2,5449,1192
HAT-P-52 b,0.819,1.009,1218,HAT-P-52,0.03694,0.893,9.4,5131,1218
HAT-P-53 b,1.487,1.318,1778,HAT-P-53,0.03159,1.209,4.67,5956,1778
HAT-P-55 b,0.582,1.182,1313,HAT-P-55,0.04604,1.011,4.2,5808,1313
HAT-P-56 b,2.31,1.51,1840,HAT-P-56,0.0423,1.47,2.01,6566,1840
HAT-P-57 b,1.85,1.413,2200,HAT-P-57,0.0406,1.5,1,7500,2200
HAT-P-58 b,0.372,1.332,1622,HAT-P-58,0.04994,1.53,7.11,5931,1622
HAT-P-59 b,1.54,1.123,1277,HAT-P-59,0.05064,1.1,7.3,5678,1277
HAT-P-60 b,0.574,1.631,1772,HAT-P-60,0.06277,2.197,2.765,6212,1772
HAT-P-61 b,1.057,0.899,1505,HAT-P-61,0.0301,0.938,2.6,5587,1505
HAT-P-62 b,0.761,1.073,1512,HAT-P-62,0.03772,1.17,8.1,5629,1512
HAT-P-63 b,0.614,1.119,1237,HAT-P-63,0.04294,0.9661,9,5400,1237
HAT-P-64 b,0.58,1.703,1766,HAT-P-64,0.05387,1.735,2.88,6457,1766
HAT-P-65 b,0.527,1.89,1930,HAT-P-65,0.03951,1.86,5.46,5835,1930
HAT-P-67 b,0.34,2.085,1903,HAT-P-67,0.06505,1.546,1.24,6406,1903
HAT-P-68 b,0.724,1.072,1028,HAT-P-68,0.02996,0.67,11.1,4508,1028
HAT-P-69 b,3.58,1.676,1990,HAT-P-69,0.06555,1.854,1.27,7724,1990
HAT-P-7 b,1.741,1.431,2121,HAT-P-7,0.0379,2,2.07,6259,2121
HAT-P-70 b,6.78,1.87,2562,HAT-P-70,0.04739,1.858,0.6,8450,2562
HATS-10 b,0.526,0.969,1407,HATS-10,0.0449,1.105,3.3,5880,1407
HATS-11 b,0.85,1.609,1596,HATS-11,0.0507,1.54,7.7,6563,1596
HATS-12 b,2.38,0.692,1446,HATS-12,0.0441,1.17,2.36,6357,1446
HATS-13 b,0.543,1.212,1244,HATS-13,0.04057,0.887,2.5,5523,1244
HATS-17 b,1.338,0.777,814,HATS-17,0.1308,1.091,2.1,5846,814
HATS-18 b,1.98,1.337,2060,HATS-18,0.01761,1.02,4.2,5600,2060
HATS-19 b,0.427,1.66,1570,HATS-19,0.0589,1.74,3.94,5896,1570
HATS-20 b,0.273,0.776,1147,HATS-20,0.04619,0.892,6.4,5406,1147
HATS-21 b,0.332,1.123,1284,HATS-21,0.04676,1.021,2.3,5695,1284
HATS-22 b,2.74,0.953,858,HATS-22,0.05025,0.689,4.6,4803,858
HATS-23 b,1.47,1.86,1654,HATS-23,0.03397,1.199,4.2,5780,1654
HATS-24 b,2.44,1.487,2067,HATS-24,0.02547,1.172,0.88,6346,2067
HATS-3 b,1.071,1.381,1648,HATS-3,0.0485,1.404,3.2,6351,1648
HATS-31 b,0.88,1.64,1823,HATS-31,0.0478,1.87,4.3,6050,1823
HATS-32 b,0.92,1.249,1437,HATS-32,0.04024,1.097,3.5,5700,1437
HATS-33 b,1.192,1.23,1429,HATS-33,0.03727,1.022,3,5659,1429
HATS-34 b,0.941,1.43,1445,HATS-34,0.03166,0.98,7.7,5380,1445
HATS-35 b,1.222,1.464,2037,HATS-35,0.03199,1.433,2.13,6300,2037
HATS-36 b,2.79,1.153,1203,HATS-36,0.0523,1.1,3.4,5950,1203
HATS-37A b,0.099,0.606,1085,HATS-37A,0.04913,0.877,11.46,5326,1085
HATS-38 b,0.074,0.614,1294,HATS-38,0.05036,1.105,11.89,5732,1294
HATS-39 b,0.63,1.57,1645,HATS-39,0.06,1.621,2.06,6572,1645
HATS-4 b,1.323,1.02,1315,HATS-4,0.0362,0.925,2.1,5403,1315
HATS-40 b,1.59,1.58,2100,HATS-40,0.04997,2.26,2.07,6460,2100
HATS-41 b,9.7,1.33,1710,HATS-41,0.0583,1.71,1.34,6424,1710
HATS-42 b,1.88,1.4,1856,HATS-42,0.03689,1.48,3.26,6060,1856
HATS-47 b,0.369,1.117,852.9,HATS-47,0.04269,0.6564,8.1,4512,852.9
HATS-48A b,0.243,0.8,954.6,HATS-48A,0.03769,0.7152,11.97,4546,954.6
HATS-49 b,0.353,0.765,834.8,HATS-49,0.04515,0.6977,10.5,4405,834.8
HATS-5 b,0.237,0.912,1025,HATS-5,0.0542,0.871,3.6,5304,1025
HATS-50 b,0.39,1.13,1348,HATS-50,0.05046,1.117,1.2,5990,1348
HATS-51 b,0.768,1.41,1553,HATS-51,0.04639,1.44,4.74,5758,1553
HATS-52 b,2.24,1.382,1834,HATS-52,0.02498,1.046,1.2,6010,1834
HATS-53 b,0.595,1.34,1312,HATS-53,0.04753,1.1,8,5644,1312
HATS-54 b,0.753,1.015,1420,HATS-54,0.037,1.23,7.96,5621,1420
HATS-55 b,0.921,1.251,1367,HATS-55,0.05412,1.126,0.4,6214,1367
HATS-56 b,0.602,1.688,1902,HATS-56,0.06043,2.201,1.894,6536,1902
HATS-57 b,3.147,1.13,1413.4,HATS-57,0.03493,0.96,2.5,5587,1413.4
HATS-58A b,1.03,1.095,1721,HATS-58A,0.05798,1.433,0.31,7175,1721
HATS-59 b,0.806,1.126,1128,HATS-59,0.06112,1.036,4.3,5670,1128
HATS-60 b,0.662,1.153,1528,HATS-60,0.04708,1.46,7.53,5690,1528
HATS-61 b,3.4,1.195,1226,HATS-61,0.07908,1.667,8.93,5541,1226
HATS-62 b,0.179,1.055,1237,HATS-62,0.04163,0.923,8,5435,1237
HATS-63 b,0.96,1.207,1398,HATS-63,0.04026,1.07,10.4,5626,1398
HATS-64 b,0.96,1.679,1793,HATS-64,0.06562,2.113,1.86,6560,1793
HATS-65 b,0.821,1.501,1634,HATS-65,0.04497,1.296,1.42,6276,1634
HATS-66 b,5.33,1.411,1998,HATS-66,0.04714,1.851,2.29,6606,1998
HATS-67 b,1.45,1.685,2193,HATS-67,0.03032,1.44,0.44,6605,2193
HATS-68 b,1.29,1.2321,1741,HATS-68,0.05071,1.769,3.14,6122,1741
HATS-69 b,0.577,0.945,1295.7,HATS-69,0.03211,0.8785,8,5137,1295.7
HATS-70 b,12.9,1.384,2730,HATS-70,0.03632,1.88,0.81,7930,2730
HATS-72 b,0.1254,0.7224,739.3,HATS-72,0.066517,0.7214,12.17,4656.1,739.3
HATS-74A b,1.46,1.032,895,HATS-74A,0.02384,0.5758,11,3777,895
HATS-75 b,0.491,0.884,772,HATS-75,0.032742,0.5848,14.9,3790.4,772
HATS-76 b,2.629,1.079,940,HATS-76,0.02658,0.626,4.6,4016,940
HATS-77 b,1.374,1.165,828,HATS-77,0.03607,0.643,12.1,4071,828
HATS-8 b,0.138,0.873,1324,HATS-8,0.04667,1.086,5.1,5679,1324
HATS-9 b,0.839,1.236,1746,HATS-9,0.0312,1.56,10.8,5599,1746
HD 106315 b,0.03964,0.218,1153,HD 106315,0.0907,1.3,4.48,6327,1153
HD 106315 c,0.04782,0.388,886,HD 106315,0.1536,1.3,4.48,6327,886
HD 110067 b,0.0179,0.19627,800,HD 110067,0.0793,0.788,8.1,5266,800
HD 110067 c,0.0198,0.2132,700,HD 110067,0.104,0.788,8.1,5266,700
HD 110067 d,0.02681,0.2543,602,HD 110067,0.136,0.788,8.1,5266,602
HD 110067 e,0.0123,0.1731,533,HD 110067,0.1785,0.788,8.1,5266,533
HD 110067 f,0.01586,0.232,489,HD 110067,0.2163,0.788,8.1,5266,489
HD 110067 g,0.0264,0.23258,440,HD 110067,0.262,0.788,8.1,5266,440
HD 118865 b,52,0.85,1200,HD 118865,9200,1.28,3.2,6068.58,1200
HD 130948 B,59.8,1,1950,HD 130948,1100,1.022,0.5,6030,1950
HD 1397 b,0.415,1.026,1228.3,HD 1397,0.1097,2.328,4.52,5528,1228.3
HD 178450 (AB)b,19,1.31,1740,HD 178450 (AB),462,0.903,0.23,5285.05,1740
HD 191939 b,0.0327,0.3024,893,HD 191939,0.078,0.945,7,5427,893
HD 191939 c,0.0227,0.2748,605,HD 191939,0.17,0.945,7,5427,605
HD 191939 d,0.0182,0.2712,549,HD 191939,0.207,0.945,7,5427,549
HD 202772 A b,1.008,1.562,2132,HD 202772 A,0.0519,2.614,1.8,6230,2132
HD 20329 b,0.02335,0.1534,2000,HD 20329,0.018,1.13,11,5596,2000
HD 207496 b,0.0192,0.2007,743,HD 207496,0.0629,0.769,0.52,4819,743
HD 207897 b,0.05,0.22348,632.3,HD 207897,0.1164,0.779,7.1,5071,632.3
HD 213885 b,0.02778,0.15568,2128,HD 213885,0.02012,1.101,3.8,5978,2128
HD 21520 b,0.0249,0.24061,637,HD 21520,0.1726,1.044,5.3,5871,637
HD 219666 b,0.0522,0.4202,1073,HD 219666,0.06356,1.03,10,5527,1073
HD 22946 b,0.00821,0.12151,1241,HD 22946,0.05727,1.157,5,6210,1241
HD 22946 c,0.0208,0.20769,931,HD 22946,0.1017,1.157,5,6210,931
HD 22946 d,0.0249,0.23258,546,HD 22946,0.2958,1.157,5,6210,546
HD 260655 b,0.00673,0.1106,709,HD 260655,0.02933,0.439,5,3803,709
HD 260655 c,0.00972,0.13677,557,HD 260655,0.04749,0.439,5,3803,557
HD 2685 b,1.18,1.44,2061,HD 2685,0.0568,1.57,1.3,6801,2061
HD 28109 b,0.058195,0.19618,881,HD 28109,0.1357,1.446,1.1,6120,881
HD 3167 b,0.0158,0.152,1669,HD 3167,0.0186,0.87,5,5528,1669
HD 3167 c,0.0308,0.255,531,HD 3167,0.1841,0.87,5,5528,531
HD 38677 c,0.0302,0.16184,1239,HD 38677,0.0733,1.26,2.01,6196,1239
HD 38677 d,0.01054,0.12428,1632,HD 38677,0.0422,1.26,2.01,6196,1632
HD 38677 e,0.01299,0.13123,1314,HD 38677,0.0651,1.26,2.01,6196,1314
HD 4113 Ac,51.913,1.45,525,HD 4113 A,50.438,1.084,4.8,5655.45,525
HD 5278 b,0.0245,0.2186,943,HD 5278,0.12,1.194,3,6203,943
HD 63433 b,0.0689,0.1945,870,HD 63433,0.0719,0.912,0.414,5640,870
HD 73583 b,0.0321,0.2489,721,HD 73583,0.0604,0.71,0.75,4511,721
HD 73583 c,0.0302,0.2436,503,HD 73583,0.1233,0.71,0.75,4511,503
HD 89345 b,0.1123,0.612,1053,HD 89345,0.105,1.657,9.4,5609,1053
HD 95338 b,0.12406,0.3551,402,HD 95338,0.231,0.86,5.08,5212,402
HD 97334 B,51.5,1.04,1639,HD 97334,1970,1.048,0.49,5905,1639
HD 97334 C,47.7,1.037,1560,HD 97334,2.85,1.048,0.49,5905,1560
HIP 65426 b,7.1,1.5,1450,HIP 65426,87,1.77,0.014,8840,1450
HIP 65A b,3.213,2.03,1411,HIP 65A,0.01782,0.7242,4.1,4590,1411
HIP 67522 b,5,0.897,1174,HIP 67522,0.0753,1.38,0.017,5675,1174
HIP 94235 b,1.192,0.2862,1060,HIP 94235,0.0787,1.08,0.1,5991,1060
HIP 97166 b,0.063,0.2444,757,HIP 97166,0.089,0.836,3.33,5198,757
K2-105 b,0.094,0.301,814,K2-105,0.0796,0.91,0.6,5464,814
K2-106 b,0.0245,0.14952,2299,K2-106,0.01314,0.98,5,5617,2299
K2-106 c,0.018,0.2534,741,K2-106,0.1091,0.98,5,5617,741
K2-107 b,0.84,1.426,1649,K2-107,0.0475,1.81,4.25,6061,1649
K2-108 b,0.187,0.476,1360,K2-108,0.0581,1.76,7.8,5599,1360
K2-110 b,0.0525,0.228,575,K2-110,0.1027,0.71,8,4950,575
K2-111 b,0.01664,0.162,1309,K2-111,0.057,1.25,12.3,5775,1309
K2-113 b,1.28,1.083,1098,K2-113,0.0642,1.24,5.9,5660,1098
K2-114 b,1.85,0.952,661,K2-114,0.0954,0.84,9.9,5044,661
K2-132 b,0.49,1.3,1586,K2-132,0.0916,3.85,8.5,4840,1586
K2-139 b,0.381,0.813,524,K2-139,0.1796,0.88,1.8,5370,524
K2-140 b,0.93,1.093,957,K2-140,0.0687,0.99,9.8,5705,957
K2-180 b,0.036,0.206,731,K2-180,0.0753,0.72,9.5,5358,731
K2-19 b,0.1019,0.691,854,K2-19,0.074,0.86,8,5430,854
K2-19 c,0.034,0.434,745,K2-19,0.0971,0.86,8,5430,745
K2-19 d,0.031,0.102,1252,K2-19,0.0344,0.86,8,5430,1252
K2-229 b,0.00815,0.102,1818,K2-229,0.0131,0.79,5.4,5315,1818
K2-229 c,0.067,0.181,750,K2-229,0.0769,0.79,5.4,5315,750
K2-229 d,0.079,0.2364,522,K2-229,0.182,0.79,5.4,5315,522
K2-232 Ab,0.398,1,1030,K2-232 A,0.10356,1.16,1.43,6154,1030
K2-233 b,0.0104,0.125,1040,K2-233,0.03317,0.74,0.36,4950,1040
K2-233 d,0.0261,0.236,482,K2-233,0.1527,0.74,0.36,4950,482
K2-236 b,0.085,0.514,817,K2-236,0.1493,1.39,3.99,6069,817
K2-238 b,0.86,1.3,1587,K2-238,0.046,1.59,5.63,5630,1587
K2-24 b,0.05978,0.482,709,K2-24,0.154,1.16,5,5625,709
K2-24 c,0.04845,0.669,560,K2-24,0.247,1.16,5,5625,560
K2-260 Ab,1.42,1.552,1957,K2-260 A,0.0404,1.69,1.9,6367,1957
K2-261 b,0.223,0.85,1080,K2-261,0.102,1.65,8.8,5537,1080
K2-266 Ab,0.0355,0.294,1515,K2-266 A,0.01306,0.7337,8.4,4362,1515
K2-266 Ac,0.00091,0.063,665,K2-266 A,0.0679,0.7337,8.4,4362,665
K2-266 Ad,0.028,0.261,538,K2-266 A,0.1035,0.7337,8.4,4362,538
K2-266 Ae,0.04499,0.244,490,K2-266 A,0.1249,0.7337,8.4,4362,490
K2-27 Bb,0.09722,0.4,902,K2-27 B,0.06702,0.8925,10.3,5231,902
K2-280 b,0.1167,0.684,744,K2-280,0.1488,1.28,8.96,5742,744
K2-287 b,0.315,0.847,804,K2-287,0.1206,1.07,4.5,5695,804
K2-29 Ab,0.73,1.19,1171,K2-29 A,0.04217,0.817,2.6,5387.06,1171
K2-290 Ab,0.0343,0.273,1230,K2-290 A,0.0923,1.51,4,6302,1230
K2-290 Ac,0.774,1.006,676,K2-290 A,0.305,1.51,4,6302,676
K2-292 b,0.07709,0.235,795,K2-292,0.13,1.09,6.8,5725,795
K2-3 b,0.02039,0.194,463,K2-3,0.0775,0.56,1,3896,463
K2-3 c,0.00673,0.165,344,K2-3,0.1405,0.56,1,3896,344
K2-3 d,0.00881,0.135,282,K2-3,0.2086,0.56,1,3896,282
K2-30 b,0.579,1.039,1092,K2-30,0.04839,0.84,3.9,5425,1092
K2-309 b,0.076,0.68,760,K2-309,0.1716,1.305,0.023,4970,760
K2-309 c,0.0623,0.4675,979,K2-309,0.0839,1.305,0.023,4970,979
K2-309 d,0.113,0.5656,855,K2-309,0.1101,1.305,0.023,4970,855
K2-309 e,0.66,0.848,549,K2-309,0.2667,1.305,0.023,4970,549
K2-314 b,0.02753,0.174,1616,EPIC 249893012,0.047,1.71,9,5430,1616
K2-314 c,0.04616,0.3274,990,EPIC 249893012,0.13,1.71,9,5430,990
K2-314 d,0.03203,0.3515,752,EPIC 249893012,0.22,1.71,9,5430,752
K2-329 b,0.26,0.774,650,K2-329,0.1016,0.822,1.8,5282,650
K2-36 b,0.01227,0.128,1224,K2-36,0.0223,0.72,1.4,4916,1224
K2-36 c,0.02454,0.2783,788,K2-36,0.054,0.72,1.4,4916,788
K2-418 b,0.0327,0.2079,804,K2-418,0.124,1,4.9,5868,804
K2-60 b,0.426,0.683,1400,K2-60,0.045,1.12,10,5500,1400
K2-95 b,1.67,0.346,383,K2-95,0.0696,0.42,0.8,3548,383
K2-97 b,1.1,0.947,1499,K2-97,0.086,4.47,7.8,4717,1499
K2-98 b,0.101,0.464,1092,K2-98,0.0974,1.57,5.2,6172,1092
K2-99 b,0.87,1.046,1184,K2-99,0.153,2.63,2.4,6217,1184
kappa And b,13,1.2,1850,kappa And,100,2.29,0.047,11361,1850
KELT-1 b,27.23,1.15,2423,KELT-1,0.02472,1.471,1.75,6516,2423
KELT-10 b,0.679,1.399,1377,KELT-10,0.0525,1.209,4.5,5948,1377
KELT-18 b,1.18,1.57,2120,KELT-18,0.0455,1.908,1.9,6670,2120
KELT-20 b,3.518,1.83,2230,KELT-20,0.0542,1.561,0.3,8981,2230
KELT-22A b,3.69,1.2,1880,Kelt-22A,0.0248,1.11,5,5700,1880
KELT-23A b,0.938,1.323,1561,KELT-23A,0.03302,0.996,6.4,5899,1561
KELT-4 A b,0.884,1.706,1827,KELT-4 A,0.04321,1.61,4.38,6207,1827
KELT-7 b,1.24,1.293,2048,KELT-7,0.0446,1.732,1.3,6789,2048
KELT-8 b,0.874,1.86,1675,KELT-8,0.04571,1.67,5.4,5754,1675
Kepler-10 b,0.0145,0.132,2130,Kepler-10,0.0172,1.06,10.6,5708,2130
Kepler-10 c,0.02319,0.2097,584,Kepler-10,0.241,1.06,10.6,5708,584
Kepler-101 b,0.16,0.51,1513,Kepler-101,0.0474,1.56,5.9,5667,1513
Kepler-101 c,0.01,0.112,1413,Kepler-101,0.0684,1.56,5.9,5667,1413
Kepler-102 b,0.01353,0.042,792,Kepler-102,0.055,0.76,1.41,4909,792
Kepler-102 c,0.00944,0.052,718,Kepler-102,0.067,0.76,1.41,4909,718
Kepler-102 e,0.028,0.198,579,Kepler-102,0.117,0.76,1.41,4909,579
Kepler-102 f,0.01636,0.079,457,Kepler-102,0.165,0.76,1.41,4909,457
Kepler-107 b,0.01104,0.137,1593,Kepler-107,0.04544,1.45,4.29,5854,1593
Kepler-107 c,0.02954,0.142,1379,Kepler-107,0.06064,1.45,4.29,5854,1379
Kepler-107 d,0.01196,0.077,1173,Kepler-107,0.08377,1.45,4.29,5854,1173
Kepler-107 e,0.02706,0.259,955,Kepler-107,0.12639,1.45,4.29,5854,955
Kepler-117 b,0.094,0.719,984,Kepler-117,0.1445,1.61,5.3,6150,984
Kepler-117 c,1.84,1.101,704,Kepler-117,0.2804,1.61,5.3,6150,704
Kepler-12 b,0.432,1.754,1480,Kepler-12,0.0553,1.48,4,5947,1480
Kepler-15 b,0.66,0.96,1225,Kepler-15,0.05714,0.99,3.7,5515,1225
Kepler-1514 b,5.28,1.108,388,Kepler-1514,0.753,1.29,2.9,6145,388
Kepler-1654 b,0.5,0.819,206,Kepler-1654,2.026,1.18,5,5597,206
Kepler-1656 b,0.1504,0.448,651,Kepler-1656,0.1974,1.1,6.31,5731,651
Kepler-1657 b,1.93,0.99,347,Kepler-1657,0.534,0.96,3.2,5830,347
Kepler-167 d,0.006,0.107,536,Kepler-167,0.1405,0.73,3.3,4890,536
Kepler-167 e,4,0.906,131,Kepler-167,1.89,0.73,3.3,4890,131
Kepler-17 b,2.45,1.31,1570,Kepler-17,0.02591,1.05,1.78,5781,1570
Kepler-1704 b,4.16,1.066,253.8,Kepler-1704,2.027,1.697,7.4,5746,253.8
Kepler-1710 b,0.010997,0.2308,694,Kepler-1710,0.1157,0.91,9.1,5572,694
Kepler-1876 b,0.0076,0.0761,1300,Kepler-1876,0.0758,1.48,4.4,6104,1300
Kepler-1971 b,0.00107,0.0455,1180,Kepler-1971,0.008,0.4,3.5,3515,1180
Kepler-1972 b,0.00636,0.07155,1392,Kepler-1972,0.0794,1.384,7.4,5818,1392
Kepler-20 b,0.03052,0.167,1105,Kepler-20,0.0463,0.96,7.6,5495,1105
Kepler-20 c,0.04012,0.272,772,Kepler-20,0.0949,0.96,7.6,5495,772
Kepler-20 d,0.03168,0.245,401,Kepler-20,0.3506,0.96,7.6,5495,401
Kepler-2002 b,23,0.25,758,Kepler-2002,0.1357,1.2,8,5900,758
Kepler-21 b,0.01598,0.146,2025,Kepler-21,0.042717,1.9,3.03,6305,2025
Kepler-39 b,20.1,1.24,897,Kepler-39,0.164,1.4,2.1,6350,897
Kepler-4 b,0.077,0.357,1650,Kepler-4,0.0456,1.49,4.5,5857,1650
Kepler-40 b,2.2,1.17,1620,Kepler-40,0.08,2.13,2.8,6510,1620
Kepler-41 b,0.56,1.29,1790,Kepler-41,0.03101,1.29,4.4,5750,1790
Kepler-411 b,0.08055,0.214,1138,Kepler-411,0.0375,0.82,0.212,4974,1138
Kepler-411 c,0.08306,0.394,838,Kepler-411,0.0739,0.82,0.212,4974,838
Kepler-411 d,0.04782,0.296,410,Kepler-411,0.279,0.82,0.212,4974,410
Kepler-412 b,0.941,1.341,1850,Kepler-412,0.02897,1.29,5.1,5750,1850
Kepler-42 b,0.009,0.07,519,Kepler-42,0.0116,0.17,4.5,3068,519
Kepler-42 c,0.006,0.065,720,Kepler-42,0.006,0.17,4.5,3068,720
Kepler-42 d,0.003,0.051,450,Kepler-42,0.0154,0.17,4.5,3068,450
Kepler-420 Ab,1.45,0.94,511,Kepler-420 A,0.382,1.13,9.3,5520,511
Kepler-423 b,0.595,1.192,1605,Kepler-423,0.03585,0.95,11,5560,1605
Kepler-425 b,0.25,0.978,1070,Kepler-425,0.0464,0.86,5,5170,1070
Kepler-426 b,0.34,1.09,1300,Kepler-426,0.0414,0.92,6,5725,1300
Kepler-427 b,0.29,1.23,1100,Kepler-427,0.091,1.35,7,5800,1100
Kepler-428 b,1.27,1.08,1070,Kepler-428,0.0433,0.8,5,5150,1070
Kepler-43 b,3.23,1.219,1620,Kepler-43,0.046,1.42,2.8,6041,1620
Kepler-433 b,2.82,1.45,1776,Kepler-433,0.0679,2.26,2.67,6360,1776
Kepler-434 b,2.86,1.13,1000,Kepler-434,0.1143,1.38,4,5977,1000
Kepler-435 b,0.84,1.99,1729,Kepler-435,0.0948,3.21,2.25,6161,1729
Kepler-44 b,1,1.09,1544,Kepler-44,0.0446,1.35,5.8,5800,1544
Kepler-45 b,0.505,0.96,1000,Kepler-45,0.03,0.55,0.5,3820,1000
Kepler-46 b,6,0.808,543,Kepler-46,0.1968,0.79,9.9,5309,543
Kepler-51 b,0.007,0.633,543,Kepler-51,0.2514,0.94,0.3,6018,543
Kepler-51 c,0.013,0.803,439,Kepler-51,0.384,0.94,0.3,6018,439
Kepler-51 d,0.024,0.865,381,Kepler-51,0.509,0.94,0.3,6018,381
Kepler-538 b,0.03335,0.198,380,Kepler-538,0.4669,0.87,5.3,5547,380
Kepler-539 b,0.97,0.747,388,Kepler-539,0.4988,0.95,1.1,5820,388
Kepler-6 b,0.668,1.304,1460,Kepler-6,0.04852,1.39,3.8,5647,1460
Kepler-62 b,0.03,0.117,750,Kepler-62,0.0553,0.64,7,4925,750
Kepler-62 c,0.013,0.048,578,Kepler-62,0.0929,0.64,7,4925,578
Kepler-62 d,0.044,0.174,510,Kepler-62,0.12,0.64,7,4925,510
Kepler-62 e,0.113,0.144,270,Kepler-62,0.427,0.64,7,4925,270
Kepler-62 f,0.11,0.126,208,Kepler-62,0.718,0.64,7,4925,208
Kepler-68 b,0.02407,0.206,1280,Kepler-68,0.0617,1.24,6.3,5793,1280
Kepler-7 b,0.441,1.622,1630,Kepler-7,0.06067,1.97,3.5,5933,1630
Kepler-74 b,0.63,0.96,1078,Kepler-74,0.0781,1.12,0.8,6000,1078
Kepler-75 b,10.1,1.05,767,Kepler-75,0.0818,0.89,6.2,5200,767
Kepler-77 b,0.43,0.96,1440,Kepler-77,0.04501,0.99,7.5,5520,1440
Kepler-79 b,0.0343,0.31,868,Kepler-79,0.117,1.3,3.44,6174,868
Kepler-79 c,0.019,0.332,685,Kepler-79,0.187,1.3,3.44,6174,685
Kepler-79 d,0.019,0.639,553,Kepler-79,0.287,1.3,3.44,6174,553
Kepler-79 e,0.013,0.311,477,Kepler-79,0.386,1.3,3.44,6174,477
Kepler-8 b,0.59,1.416,1680,Kepler-8,0.0474,1.49,3.84,6213,1680
Kepler-87 b,1.02,1.204,478,Kepler-87,0.481,1.82,7.5,5600,478
Kepler-87 c,0.02,0.548,403,Kepler-87,0.676,1.82,7.5,5600,403
